Author	Text	Location	Datetime
jventurafilho	RT @RodP13: Lula e Dilma não estão nas listas de Furnas, HSBC, Odebrecht, Panamá Papers. Tucanos, justiça e mídia estão. Pense! https://t.c…	Arapiraca, Alagoas	14:54:18 04/04/2016
mabammer	Giant Leak of Offshore Financial Records Exposes Global Array of Crime and Corruption #panamapapers https://t.co/wur5sGDgC3	Cape Town, South Africa	14:54:21 04/04/2016
MaryKapadia	RT @CJTerry: Iceland govt teetering over #panamapapers, Pirate Party has big lead. Can I say how much I enjoy their banner photo https://t.…	Leicester, England	14:54:26 04/04/2016
shekharg	Soon news channels will run a ticker "Kejriwal on the Panama Papers list"	New Delhi, India	14:54:23 04/04/2016
leonardo_leon77	RT @NTN24: Autoridades en Australia investigan a 800 ciudadanos por posibles evasiones relacionadas a los 'Papeles de Panamá' https://t.co/…	Venezuela	14:55:56 04/04/2016
SouraBharadwaj	RT @GolOpinions: Worst part of Amitabh And Aishwarya named in Panama Papers is the fact that Abhishek couldn't even earn enough for Tax eva…	Ahmedabad	14:51:07 04/04/2016
FaizaQadri2	RT @TahirulQadri: The whole world is now testifying to what I said about rulers' corruption in the sit-in. #PanamaPapersVindicatePAT	None	14:52:56 04/04/2016
Tweet_Retwet	RT @Telegraph: 10 things we've learnt from the leaked Panama Papers https://t.co/zGShMgQ0k3 https://t.co/VPJSF3XjGz	None	14:53:01 04/04/2016
saadiashaiq	RT @MaryamNSharif: Sharif family's official response to distortion of information given in Panama Leaks. https://t.co/d84jfOsQz6	None	14:55:14 04/04/2016
SzgnUysal	RT @hacibbr: Panama belgelerinin ortaya saçıldığı gibi bir gün amel defterleriniz de ortaya saçılacak! O gün üstünlük sadece takvada,hüküm…	None	14:59:00 04/04/2016
soslundin	RT @SvD: Inget av #PanamaLeaks hade varit möjligt utan visselblåsare, mod och grävande journalistik: https://t.co/dqAsBYAwAc https://t.co/Y…	None	14:58:54 04/04/2016
baldojj	RT @Mathieu21435552: Panama Papers : Jérôme Kerviel souhaite «une bien belle semaine» à la Société Générale https://t.co/RH7b2GmbOw	None	14:59:01 04/04/2016
amorporvenezuel	RT @plpm: LOS PAPELES DE PANAMA tema del dia. La mayor filtración periodística de la historia, fue hecha por un grupo Internacional de Peri…	venezuela	14:52:31 04/04/2016
TulumConMau	Macri acosado por escándalo de "Papeles de Panamá" en medio de crisis https://t.co/GpfidYXvqW	None	14:55:11 04/04/2016
annie_woodard	A storm is coming to Iceland #panamapapers https://t.co/uHw5kgthQB	Santa Monica	14:56:28 04/04/2016
PrettyHatMech	RT @nw_nicholas: Last Feb Panorama did HSBC #SwissLeaks before Fairhead had claws in. Will Panorama cover HSBC tonight? #panamapapers	United Kingdom	14:52:22 04/04/2016
ajmendozac	RT @VENEZOLOGIA: Funcionarios chavistas caídos en caso de corrupción: el escándalo de los #PanamaPapers https://t.co/qVOorrxSvg https://t.c…	None	14:53:34 04/04/2016
JadeGryffon	RT @CyberTaters: RT @tianchua: A bleak &amp; tough time ahead for corrupted politicians around the world, thanks to #PanamaPapers  + all the po…	'MURRICA	14:53:34 04/04/2016
dahime82	RT @carnecrudaradio: No es delito llevar tu dinero a Panamá, pero ¿para qué te lo vas a llevar a una sociedad opaca si no es para esconderl…	Valencia	14:54:47 04/04/2016
Joseluiscalvoch	Pilar de Borbón, Messi y Almodóvar ocultaron su fortuna en Panamá https://t.co/MA3xuoyiBP	None	14:59:02 04/04/2016
BibistosS	Videos en el mundo explican investigación con base en Panama Papers: Medios del mundo retomaron las investigac... https://t.co/h23Dz38D8o	Distrito Federal, México	14:56:40 04/04/2016
infoitestero	I conti segreti dei Panama papers (Internazionale) https://t.co/5tMq9KBDw5 https://t.co/SYCXIb9cqe	Italia	14:53:58 04/04/2016
cit_uprising	RT @saltysurfsod: @davidsirota And Bernie voted against the Panama trade agreement	None	14:54:59 04/04/2016
sara0garcia	The Panama Papers: world reacts to huge offshore tax files leak  - live https://t.co/tsVExKgcxU	UK	14:56:08 04/04/2016
barbwodecki	RT @keirpp: So I pay taxes to pay Wilson Security to run refugee prisons to make profits that go to Panama so they pay no tax? #4Corners	None	14:53:08 04/04/2016
CihanHaya	RT @nafeesiftikhar: #PanamaPapersVindicatePAT @TahirulQadri @ https://t.co/Q4YtdV7P74	None	14:55:30 04/04/2016
Dolamite02	How the #PanamaLeaks happened: https://t.co/2c6BskQena	Houston, TX	14:58:23 04/04/2016
jordanhcht	RT @KonbiniFr: #PanamaPapers : l'origine de la fuite des informations https://t.co/1FcGBGvQV0	None	15:47:06 04/04/2016
boxcryptor	Der größte Leak der Geschichte begann mit ein paar verschlüsselten E-Mails. https://t.co/hN4ZwDQgVV #PanamaPapers #Sueddeutsche	Germany	15:47:06 04/04/2016
bazar_queretaro	#PapersDePanama 'Panamá papers', el gran fraude fiscal | Noticias al Momento https://t.co/nJ57rTF7KV	Queretaro, Mexico	15:47:05 04/04/2016
QUIRKIEBIRD_	#PanamaLeaks  https://t.co/OvJQ4k9cse	Chelmsford, Essex	15:50:33 04/04/2016
CinduF	La pregunta es qué consecuencias (castigos) tendrán los descubrimientos publicados en #panamapapers	None	15:51:46 04/04/2016
andreas_huber	einer der 400 Journalisten so zu seiner Partnerin in letzten Mon. "Ja, ich habe eine Affäre, aber es ist anders als du denkst" #panamapapers	Hamburg, Deutschland	15:46:17 04/04/2016
stanabbad	RT @kshahzad321: #PanamaPapersVindicatePAT https://t.co/m604aEJ9Pa	None	15:53:16 04/04/2016
zzsstt2	RT @saveera0046: #PanamaExposeNawaz https://t.co/Z2yFjDOqfZ	None	15:46:13 04/04/2016
Hermetec	RT @a_greenberg: How Reporters Pulled Off the Panama Papers, the Biggest Leak in Whistleblower History https://t.co/wBuW1HwFlh	None	15:49:12 04/04/2016
annywendy	RT @NelsonBocaranda: El diario El País quiere colocar en una página abierta toda la investigación de #panamapapersEP para consulta pública	Maracaibo-Venezuela	15:49:11 04/04/2016
Antoine_BP	RT @J0sphine: . @kerviel_j devant #PanamaLeaks @SocieteGenerale https://t.co/77hIcAnbXZ	Paris 	15:52:41 04/04/2016
endikaendi	Panamá País que sufrió el intento de invasión por USA para imponer su democracia, País que se está destruyendo... https://t.co/gvqBuaF1km	Erandio, Euskal Herria	15:51:22 04/04/2016
AlidaDiazBrilla	HAY DEMASIADA BULLA SOBRE LOS PAPELES D PANAMA, AQUI DEBE ESTAR METIDA LA MANO D LA USAID, DE UUEE NO DICEN NADA!   https://t.co/IplLIPGaQe	None	15:52:23 04/04/2016
baquiqui	Ahora ninguno hizo plata con esas sociedades. ¿No es más raro aún? Panama papers  #VuelveVHM #BuenLunes	None	15:52:23 04/04/2016
dennisdavid	RT @bbcmundo: #PanamaPapers Te explicamos cómo hacen delincuentes y evasores para ocultar su dinero https://t.co/E0NQyjXt8Q https://t.co/t7…	Lima	15:53:38 04/04/2016
ChuchoRZ	Hay pocos venezolanos en los #PanamaPapers porque acá no hace falta esconder los robos.	Venezuela	15:46:02 04/04/2016
BasiezMartine	RT @Clyde_Barrow_: Non mais rassurez vous, les #panamapapers ne représentent qu'une petite partie de la fraude fiscale...	None	15:46:38 04/04/2016
LucasLuigiLucas	RT @thereaIbanksy: Countries with public officials implicated in the #PanamaPapers tax haven scandal in its 1st 5 hours. https://t.co/or9bI…	Toulouse et Gers rpz	15:48:10 04/04/2016
rasainforma	SAT iniciará revisión de lista de ‘Los Papales de Panamá’ #Enterate de más aquí https://t.co/VExehtD81L https://t.co/EyAjckBCXd	None	15:51:32 04/04/2016
Santi_C_R	RT @UPYD: Felicidades a los periodistas del @ICIJorg por destapar los papeles de Panamá, cada mano es necesaria para erradicar la corrupció…	Vila-real	15:51:34 04/04/2016
ahmadfaheem991	#PanamaExposeNawaz nai kaha... https://t.co/wlx1J9DkyJ	United Arab Emirates	15:53:53 04/04/2016
viviana_ruiz036	RT @Notitimes: #Internacionales Gobierno ruso: CIA está detrás de filtración de los Papeles de Panamá https://t.co/fYhkn30oLM https://t.co/…	Venezuela	15:47:33 04/04/2016
zari12312	RT @kshahzad321: #PanamaPapersVindicatePAT https://t.co/57Tc6X8z8O	None	15:50:57 04/04/2016
AOdaris	RT @arigomez13: Los papeles de Panamá tienen a varios políticos temblando en RD	Bronx, NY	15:50:58 04/04/2016
Vikram_Dwivedi	RT @guardian: Fund run by David Cameron’s father avoided paying UK tax https://t.co/UlQXP554LZ #PanamaLeaks	ÜT: 28.5362,77.301636	15:52:08 04/04/2016
Miguel_locura	RT @el_pais: La empresa del padre de Cameron no ha pagado en 30 años un solo penique de impuestos en Reino Unido https://t.co/NsOecYEGsa #P…	None	15:52:10 04/04/2016
SaifHasan21	RT @Moeedi: Hassan was only 17 yrs old When Nawaz Sharif formed offshore compnies in 1993 &amp; bought Park Lane Flats #PanamaPapers https://t.…	Karachi	15:52:10 04/04/2016
AniLes01	Mossack Fonseca, la empresa detrás de 'Panama Papers' https://t.co/6jEmSCDQCQ	Veracruz	15:53:20 04/04/2016
RicardoLoDice	#Dato El International Consortium of Investigative Journalists (ICIJ) fue el ente que coordinó investigación masiva de los papeles de Panamá	Guaro en Caracas, DC	15:47:50 04/04/2016
omunetwork_ec	¡ESCÁNDALO!  MILLONES DE DOCUMENTOS REVELADOS INCRIMINANDO A EJECUTIVOS #panamapapers  https://t.co/wYj4osxXJ2 https://t.co/fZojaMINGw	Ecuador	15:48:57 04/04/2016
JorgeAc78258353	RT @Alfredorivaden6: #panamapapers alguien me puede decir que fuma laura alonso larga la pasta base ,mañana tapa de clarín https://t.co/BKg…	None	15:53:56 04/04/2016
James_Thorburn	The leak of the Panama papers has done the world a huge service. https://t.co/BVVf9XN71Q	 香港	15:53:58 04/04/2016
5amzzzaa	#PanamaLeaks #PanamaPapers Your own governments are committing crimes but when a poor man does something 'illegal' everyone gets pissed	Birmingham	15:48:35 04/04/2016
surquilmess	RT @javirom: Difundir urgente RT #panamapapers #LeyDeMedios #ElAjuste https://t.co/oLmxxZDzec	Quilmes, Argentina	15:49:50 04/04/2016
AnneKni38953689	RT @labourpress: Revelations in the Panama Papers are extremely serious and frankly repulsive @johnmcdonnellMP https://t.co/i9HM9DKlFs	None	15:49:47 04/04/2016
